start_cons, vowel, end_cons,silent_e,location_front, syllables
#Page 730
,i,n,,1,3
v,e,r,,2,3
t,a,s,e,3,3
,i,n,,1,4
v,e,r,,2,4
t,e,,,3,4
br,a,t,e,4,4
,i,n,,1,3
v,e,r,,2,3
t,e,d,,3,3
c,o,m,,1,2
m,a,,,2,2
,i,n,,1,3
v,e,r,,2,3
t,e,d,,3,3
c,o,m,,1,2
m,a,,,2,2
,i,n,,1,3
v,e,r,,2,3
t,e,r,,3,3
,i,n,,1,2
v,e,rt,,2,2
s,u,,,1,2
g,a,r,,1,2
,i,n,,1,2
v,e,st,,2,2
,i,n,,1,4
v,e,s,,2,4
t,i,g,,3,4
,a,t,e,4,4
,i,n,,1,5
v,e,s,,2,5
t,i,,,3,5
g,a,,,4,5
t,io,n,,5,5
,i,n,,1,5
v,e,s,,2,5
t,i,,,3,5
g,a,,,4,5
t,i,v,e,5,5
,i,n,,1,5
v,e,s,,2,5
t,i,,,3,5
g,a,,,4,5
t,o,r,,5,5
,i,n,,1,4
v,e,s,,2,4
t,i,,,3,4
t,u,r,e,4,4
,i,n,,1,3
v,e,st,,2,3
m,e,nt,,3,3
,i,n,,1,3
v,e,st,,2,3
m,e,nt,,3,3
b,a,nk,,1,1
,i,n,,1,4
v,e,t,,2,4
,e,r,,3,4
,a,t,e,4,4
,i,n,,1,4
v,i,,,2,4
,a,,,3,4
bl,e,,,4,4
,i,n,,1,4
v,i,d,,2,4
,i,,,3,4
,ou,s,,4,4
,i,n,,1,4
v,i,g,,2,4
,o,r,,3,4
,a,t,e,4,4
,i,n,,1,4
v,i,n,,2,4
c,i,,,3,4
bl,e,,,4,4
,i,n,,1,5
v,i,,,2,5
,o,,,3,5
l,a,,,4,5
bl,e,,,5,5
,i,n,,1,4
v,i,,,2,4
,o,,,3,4
l,a,t,e,4,4
,i,n,,1,3
v,i,s,,2,3
c,i,d,,3,3
,i,n,,1,4
v,i,s,,2,4
,i,,,3,4
bl,e,,,4,4
,i,n,,1,4
v,i,s,,2,4
,i,,,3,4
bl,e,,,4,4
h,a,nd,,1,1
,i,n,,1,4
v,i,s,,2,4
,i,,,3,4
bl,e,,,4,4
,i,nk,,1,1
,i,n,,1,4
v,i,,,2,4
t,a,,,3,4
t,io,n,,4,4
#End of page 730's first column
#Page 40
,a,l,,1,3
q,ae,,,2,3
d,a,,,3,3
,a,l,,1,3
r,ea,d,,2,3
,y,,,3,3
,a,l,,1,2
r,i,ght,,2,2
#End of page 40's first column
#Page 154
bl,i,nd,,1,2
w,or,m,,2,2
bl,i,nk,,1,1
bl,i,nk,,1,2
,er,,,2,2
bl,i,ntz,,1,1
bl,i,p,,1,1
bl,i,ss,,1,1
bl,i,s,,1,2
t,e,r,,2,2
bl,i,s,,1,2
t,e,r,,2,2
b,ee,,,1,2
tl,e,,,2,2
bl,i,s,,1,2
t,e,r,,2,2
c,o,p,,1,2
p,e,r,,2,2
bl,i,s,,1,3
t,e,r,,2,3
,i,ng,,3,3
bl,i,s,,1,2
t,e,r,,2,2
p,a,ck,,1,1
bl,i,s,,1,2
t,e,r,,2,2
r,u,st,,1,1
bl,i,th,e,1,1
bl,i,th,,1,2
,e,r,,2,2
bl,i,th,e,1,2
s,o,m,e,2,2
bl,i,tz,,1,1
bl,i,tz,,1,2
,e,d,,2,2
bl,i,tz,,1,2
kr,ie,g,,2,2
bl,i,z,,1,2
